Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
0,0,0,0,1, Bireh,https://dbpedia.org/page/Mount_Lebanon_Governorate,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-+Bireh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,A'ain El-Mir (El Establ),https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-A%27ain+El-Mir+%28El+Establ%29,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,AAridet Cheikh Zennad,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-AAridet+Cheikh+Zennad,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aaba,https://dbpedia.org/page/North_Governorate,12,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aabadiyeh,http://dbpedia.org/resource/Baabda_District,50,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabadiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aabaydat,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabaydat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Aabba,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Aabbesiyyi,http://dbpedia.org/resource/Tyre_District,500,50,10,20,25,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabbesiyyi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Aabdine,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabdine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Aabra Saida,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabra+Saida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aabrine,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aabrine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Aachach,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aachach,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
